Matrix Size; Time; PAPI_L1_DCM; PAPI_L2_DCM; PAPI_CA_SNP; PAPI_TLB_DM; PAPI_L1_LDM; PAPI_L2_LDM; PAPI_L3_LDM; PAPI_PRF_DM; PAPI_MEM_WCY
100; 0.004639; 130540; 43678; 26923; 0; 0; 0; 0; 0; 0
101; 0.003966; 133617; 78628; 33671; 0; 0; 0; 0; 0; 0
102; 0.003325; 142579; 41159; 21067; 0; 0; 0; 0; 0; 0
103; 0.002418; 140795; 24779; 10930; 0; 0; 0; 0; 0; 0
104; 0.002525; 146644; 41906; 21250; 0; 0; 0; 0; 0; 0
105; 0.00258; 153338; 71004; 56900; 0; 0; 0; 0; 0; 0
106; 0.002058; 157404; 16967; 10610; 0; 0; 0; 0; 0; 0
107; 0.001865; 157461; 14895; 7045; 0; 0; 0; 0; 0; 0
108; 0.002213; 163089; 34715; 22901; 0; 0; 0; 0; 0; 0
109; 0.00177; 167940; 64165; 31424; 0; 0; 0; 0; 0; 0
110; 0.001942; 172520; 27546; 12730; 0; 0; 0; 0; 0; 0
111; 0.002166; 180713; 69995; 28002; 0; 0; 0; 0; 0; 0
112; 0.002061; 184545; 53900; 25567; 0; 0; 0; 0; 0; 0
113; 0.002075; 186300; 36496; 25754; 0; 0; 0; 0; 0; 0
114; 0.002094; 220943; 65895; 41390; 0; 0; 0; 0; 0; 0
115; 0.002018; 195815; 44971; 25958; 0; 0; 0; 0; 0; 0
116; 0.002225; 202780; 77729; 45030; 0; 0; 0; 0; 0; 0
117; 0.002495; 218124; 145581; 83531; 0; 0; 0; 0; 0; 0
118; 0.002345; 220835; 90501; 42790; 0; 0; 0; 0; 0; 0
119; 0.002353; 219068; 56713; 26552; 0; 0; 0; 0; 0; 0


